player_id,position
1,MID
2,FWD
3,DEF
4,FWD
5,GK
6,DEF
7,MID
8,DEF
9,MID
12,MID
13,MID
15,GK
16,MID
17,MID
18,DEF
20,MID
21,DEF
22,DEF
23,MID
24,DEF
25,DEF
73,GK
186,MID
578,DEF
597,MID
633,MID
638,MID
639,GK
657,DEF
659,MID
662,DEF
665,FWD
735,
756,GK
790,MID
793,MID
801,DEF
28,MID
29,MID
30,MID
31,MID
32,DEF
33,MID
34,MID
35,DEF
36,DEF
37,MID
38,FWD
39,GK
40,DEF
41,MID
42,MID
43,DEF
44,DEF
45,DEF
46,GK
47,GK
48,MID
49,DEF
50,DEF
51,GK
52,DEF
53,MID
54,MID
55,GK
56,DEF
57,MID
58,FWD
167,DEF
233,MID
385,MID
598,DEF
640,DEF
641,GK
656,MID
679,MID
710,MID
725,MID
731,DEF
737,
762,MID
59,DEF
60,MID
61,MID
62,MID
63,MID
64,MID
65,FWD
66,MID
67,MID
68,DEF
69,FWD
70,DEF
71,MID
72,DEF
74,MID
75,GK
76,MID
77,MID
78,MID
79,DEF
80,MID
81,DEF
83,MID
84,GK
85,DEF
152,GK
580,DEF
592,DEF
599,GK
617,FWD
680,DEF
687,MID
702,DEF
707,FWD
712,DEF
713,DEF
722,FWD
723,MID
727,GK
728,MID
738,
86,DEF
87,MID
88,DEF
89,MID
90,MID
91,GK
92,DEF
93,DEF
94,MID
95,MID
96,DEF
97,MID
98,MID
99,MID
100,DEF
101,MID
102,MID
103,MID
104,DEF
105,DEF
106,MID
107,FWD
108,FWD
109,GK
110,FWD
111,MID
112,DEF
314,MID
338,DEF
602,MID
634,MID
649,DEF
661,MID
674,MID
705,DEF
752,
757,DEF
759,GK
780,FWD
786,DEF
113,MID
114,MID
115,MID
116,DEF
118,MID
119,MID
120,DEF
122,DEF
124,MID
125,MID
126,MID
127,MID
128,DEF
129,FWD
130,MID
131,DEF
132,MID
133,MID
134,MID
135,MID
136,MID
137,MID
138,FWD
139,DEF
140,MID
141,MID
142,GK
143,FWD
144,DEF
145,DEF
146,GK
147,DEF
148,FWD
149,MID
595,MID
600,MID
601,MID
615,GK
618,MID
628,DEF
629,MID
663,DEF
668,GK
681,DEF
685,DEF
714,MID
739,
758,MID
763,DEF
791,DEF
794,DEF
795,MID
150,MID
151,MID
153,DEF
154,GK
155,GK
157,MID
158,MID
159,DEF
161,MID
162,DEF
163,DEF
164,FWD
165,FWD
166,MID
168,MID
169,MID
170,DEF
171,DEF
172,DEF
173,MID
174,MID
175,FWD
176,DEF
177,MID
178,FWD
179,MID
180,FWD
181,MID
182,MID
183,GK
184,MID
185,GK
187,DEF
189,DEF
386,MID
560,MID
575,DEF
581,GK
621,MID
695,MID
696,MID
697,DEF
740,
771,MID
774,DEF
781,FWD
782,DEF
787,DEF
11,FWD
160,DEF
190,MID
193,MID
194,DEF
195,DEF
196,DEF
197,MID
199,MID
200,DEF
201,GK
202,DEF
203,MID
205,MID
206,MID
207,FWD
208,MID
209,GK
210,DEF
211,DEF
212,MID
213,MID
214,MID
215,DEF
216,MID
445,GK
585,MID
644,MID
645,MID
646,MID
647,MID
650,DEF
666,DEF
676,FWD
730,MID
741,
156,FWD
217,MID
218,FWD
219,DEF
220,FWD
221,DEF
222,MID
223,MID
224,MID
225,DEF
226,MID
227,GK
228,DEF
229,FWD
230,MID
231,DEF
232,FWD
234,DEF
235,GK
236,DEF
237,FWD
238,DEF
450,MID
577,MID
582,DEF
603,MID
614,MID
624,GK
627,DEF
651,MID
678,MID
724,FWD
742,
773,MID
775,MID
803,DEF
10,MID
19,MID
191,DEF
239,MID
240,MID
241,DEF
242,GK
243,MID
244,DEF
245,DEF
246,MID
247,MID
248,GK
249,MID
250,DEF
251,FWD
252,FWD
253,DEF
254,MID
255,DEF
256,FWD
257,DEF
258,FWD
259,MID
579,DEF
586,DEF
604,MID
605,MID
622,MID
690,DEF
753,
772,MID
121,MID
260,FWD
261,DEF
262,MID
263,DEF
264,MID
265,MID
266,DEF
267,DEF
268,FWD
269,DEF
270,DEF
271,MID
272,FWD
273,MID
274,MID
275,DEF
276,FWD
277,MID
278,MID
279,DEF
280,GK
281,MID
282,DEF
283,GK
284,DEF
359,MID
568,GK
569,MID
583,DEF
611,MID
619,MID
630,DEF
631,MID
632,MID
715,DEF
743,
764,GK
799,DEF
800,MID
117,MID
192,MID
198,FWD
285,MID
286,FWD
287,MID
288,DEF
289,FWD
290,MID
291,DEF
292,MID
293,GK
294,GK
295,DEF
296,DEF
297,MID
298,MID
299,MID
300,MID
301,DEF
302,DEF
303,DEF
304,GK
305,DEF
306,FWD
307,DEF
308,GK
309,MID
501,MID
570,MID
606,MID
616,DEF
635,MID
694,MID
708,DEF
726,DEF
754,
792,MID
796,DEF
797,MID
802,MID
310,GK
311,DEF
312,MID
313,DEF
315,MID
316,FWD
317,MID
318,MID
319,MID
320,MID
321,FWD
322,DEF
323,MID
324,MID
325,GK
326,DEF
327,MID
328,MID
329,MID
330,MID
331,MID
332,DEF
333,DEF
334,DEF
335,DEF
336,MID
337,DEF
339,DEF
636,MID
660,GK
669,GK
688,MID
692,DEF
709,FWD
744,
340,DEF
341,DEF
342,MID
343,MID
344,GK
345,MID
346,MID
347,GK
348,MID
349,MID
350,DEF
351,FWD
352,FWD
353,DEF
354,MID
355,DEF
356,MID
357,MID
358,GK
360,MID
361,DEF
362,DEF
363,DEF
571,MID
607,MID
625,MID
626,DEF
671,MID
672,DEF
675,DEF
698,FWD
703,DEF
704,GK
732,DEF
733,DEF
736,
755,FWD
765,MID
785,MID
364,MID
365,MID
366,MID
367,GK
368,MID
369,DEF
370,MID
371,DEF
372,MID
373,MID
374,GK
375,FWD
376,DEF
377,DEF
378,MID
379,DEF
380,DEF
381,MID
382,MID
383,GK
384,MID
387,DEF
389,FWD
572,DEF
593,DEF
594,DEF
613,MID
648,FWD
652,MID
658,DEF
667,MID
670,DEF
673,MID
691,DEF
745,
761,GK
766,DEF
776,FWD
777,DEF
778,MID
779,MID
783,GK
788,GK
390,DEF
391,MID
392,MID
393,DEF
394,MID
395,DEF
396,GK
398,MID
399,DEF
400,MID
401,FWD
402,MID
403,MID
404,DEF
405,DEF
406,MID
407,DEF
408,DEF
409,DEF
410,MID
411,MID
412,GK
413,GK
414,GK
415,DEF
416,DEF
417,MID
418,DEF
419,MID
420,MID
421,FWD
574,DEF
590,FWD
746,
789,FWD
26,DEF
422,DEF
423,MID
424,FWD
425,DEF
426,MID
427,GK
428,MID
429,MID
430,FWD
431,MID
432,MID
433,MID
434,MID
435,MID
436,DEF
437,DEF
438,DEF
439,MID
440,DEF
441,DEF
442,MID
443,GK
444,DEF
446,FWD
447,FWD
448,DEF
449,MID
573,DEF
596,MID
620,MID
653,DEF
706,DEF
721,GK
747,
14,GK
27,FWD
188,MID
397,MID
451,MID
452,MID
453,FWD
454,GK
455,DEF
456,DEF
457,DEF
458,MID
459,MID
460,DEF
461,DEF
462,MID
463,MID
464,DEF
465,GK
466,GK
467,DEF
468,FWD
469,GK
470,FWD
471,MID
472,DEF
473,FWD
474,DEF
475,DEF
476,DEF
477,DEF
515,MID
518,MID
584,MID
608,MID
623,MID
693,MID
718,DEF
719,DEF
734,MID
748,
798,FWD
804,DEF
82,FWD
478,DEF
479,GK
480,MID
481,MID
482,MID
483,MID
484,DEF
485,MID
486,DEF
487,DEF
488,GK
489,MID
490,MID
491,MID
492,MID
493,MID
494,MID
495,DEF
496,DEF
497,FWD
498,DEF
499,MID
500,FWD
502,MID
503,MID
504,DEF
505,DEF
506,DEF
507,FWD
508,GK
509,MID
510,GK
609,FWD
610,MID
612,MID
683,MID
684,DEF
689,MID
699,DEF
700,DEF
716,GK
717,MID
729,MID
749,
760,DEF
767,DEF
768,MID
123,FWD
388,DEF
511,MID
512,FWD
513,GK
514,MID
516,DEF
517,DEF
519,MID
520,DEF
521,GK
522,GK
523,FWD
524,DEF
525,MID
526,MID
527,MID
528,DEF
529,DEF
530,MID
531,MID
532,DEF
576,MID
587,MID
588,MID
589,FWD
591,DEF
643,DEF
654,MID
677,DEF
686,DEF
701,MID
750,
204,GK
533,DEF
534,MID
535,MID
536,GK
537,MID
538,MID
539,FWD
540,MID
541,FWD
542,DEF
543,DEF
544,MID
545,FWD
546,FWD
547,MID
548,MID
549,DEF
550,MID
551,MID
552,DEF
553,MID
554,GK
555,FWD
556,GK
557,MID
558,DEF
559,DEF
561,DEF
562,MID
563,MID
564,DEF
565,MID
566,FWD
567,DEF
637,DEF
642,MID
655,MID
664,DEF
682,MID
711,DEF
720,DEF
751,
769,DEF
770,MID
784,FWD
